"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.719478603059840E9,"2024-06-27 11:56:43.060 UTC+03:00"
"PAUSE",5.905525624996517E1,1.719478662114435E9,"2024-06-27 11:57:42.114 UTC+03:00"
