Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C0402",394.954915,-103.700000,180.000000,top
"C2","1u","C0402",395.000000,-102.400000,0.000000,top
"C3","4.7n","C0603",407.299975,-104.890576,0.000000,top
"C4","330p","C0603",407.299975,-102.890576,180.000000,top
"C5","220u","CASE-D_7343",388.000000,-105.000000,90.000000,top
"T1","1:50","XFMR-SMD_LPR6235-752SML",401.000000,-112.000000,0.000000,top
"U2","LTC3108IGN_PBF","SSOP-16_GW",401.000000,-104.000000,0.000000,top
